"name","DNA_97_S38","DNA73_S32","DNA76_S35"
"Dyorhopapillomavirus 1",0,0,0
"Dyothetapapillomavirus 1",0,0,0
"Eapunavirus Eap1",0,0,1
"Efbeekayvirus Fbkp27",0,0,0
"Efbeekayvirus P184",0,0,0
"Efemunavirus Efm1",0,0,0
"Efquatrovirus AL3",0,0,0
"Efquatrovirus EF3",0,0,0
"Efquatrovirus EF4",0,0,0
"Efquatrovirus IME196",0,0,0
"Efquatrovirus SHEF2",0,0,0
"Efquatrovirus SHEF5",0,0,0
"Eganvirus SW9",1,0,1
"Egaro virus",0,0,0
"Eidolon helvum adenovirus",0,0,0
"Eidolonvirus eidolon",0,0,0
"Elanorvirus elanor",0,0,0
"Eldridgevirus eldridge",0,0,0
"Elephant endotheliotropic herpesvirus 3",0,1,1
"Elephant endotheliotropic herpesvirus 4",0,0,0
"Elmenteitavirus ev125",0,0,0
"Elpedvirus LpeD",0,0,0
"Elunavirus L1",1,1,1
"Elvirus EL",0,0,0
"Emaravirus camelliae",0,0,0
"Emaravirus kiwii",0,0,0
"Emaravirus parkinsoniae",0,0,0
"Emaravirus perillae",0,0,0
"Emaravirus populi",0,0,0
"Emaravirus verbanni",0,0,0
"Emaravirus ziziphi",0,0,0
"Emcearvirus gerard",0,0,0
"Emdodecavirus N3",0,0,0
"Emirosevirus emirose",0,0,1
"Enchivirus Enc34",0,0,0
"Enedivirus anar",0,0,0
"Eneladusvirus BF",0,0,0
"Eneladusvirus Yen904",0,0,0
"Enhodamvirus VC8",0,0,0
"Enquatrovirus N4",0,1,1
"Entomobirnavirus anophelae",0,0,0
"Entomobirnavirus drosophilae",0,0,0
"Ephemerovirus obodhiang",0,0,0
"Epseptimavirus LVR16A",0,0,0
"Epseptimavirus R201",0,0,0
"Epseptimavirus S124",0,0,0
"Epseptimavirus S132",0,0,0
"Epseptimavirus Sds2",0,0,0
"Epseptimavirus ev23",0,0,0
"Epseptimavirus falkor",0,0,0
"Epseptimavirus mar003J3",0,0,0
"Epsilonarterivirus hemcep",0,0,0
"Epsilonarterivirus zamalb",0,0,0
"Epsilonentomopoxvirus dlongicaudata",10,1,3
"Eptesicus fuscus gammaherpesvirus",0,0,0
"Eracentumvirus S2",0,0,0
"Eracentumvirus era103",0,0,1
"Ermolevavirus PhiKT",0,0,0
"Erskinevirus EaH2",0,0,0
"Erysiphe necator mitovirus 2",0,0,0
"Espirito Santo virus",0,0,0
"Etaarterivirus ugarco",0,0,0
"Euproctis digramma nucleopolyhedrovirus",0,0,0
"Eurybiavirus PHM2",1,0,0
"Evevirus ev239",0,0,0
"Exceevirus Xc38",0,0,0
"Fabavirus pruni",0,0,0
"Fadolivirus algeromassiliense",8,32,7
"Fairfaxidumvirus fairfaxidum",0,0,0
"Fajavirus faja",0,0,0
"Fako virus",0,0,0
"Farahnazvirus ISF9",0,0,0
"Faustvirus faust",0,0,0
"Faustvirus tunatartare",0,0,0
"Felixounavirus SP116",0,0,0
"Felixounavirus TP1",0,0,0
"Felixounavirus VpaE1",0,0,0
"Felixounavirus pinkbiff",0,0,0
"Fengtaivirus Axp2",0,0,0
"Feofaniavirus Eho49",0,0,0
"Feofaniavirus Eho59",0,0,0
"Feravirus neuropterus",0,0,0
"Feravirus sp. 'hemipterus'",0,0,0
"Fernvirus Hb10c2",0,0,0
"Ferozepurvirus PS1",0,0,0
"Ferozepurvirus pAEv1810",0,0,0
"Fibrovirus VP24",0,0,0
"Ficleduovirus FCV1",0,0,0
"Fifivirus fifi44",0,0,0
"Finchvirus finch",0,0,1
"Fionnbharthvirus eponine",0,0,0
"Fionnbharthvirus henu3",0,0,0
"Fionnbharthvirus patt",0,0,0
"Fipvunavirus Fpv4",0,0,0
"Firehammervirus CP21",0,0,0
"Firehammervirus CP220",0,0,0
"Firehammervirus CPt10",0,0,0
"Flamingopox virus FGPVKD09",0,0,0
"Fletchervirus CP81",0,0,0
"Fletchervirus Los1",0,0,0
"Flowerpowervirus flowerpower",0,0,0
"Flyfo siphovirus Tbat1_6",0,0,0
"Foetvirus P1723",0,1,1
"Fohxhuevirus gastrointestinalis",0,0,0
"Footloosevirus footloose",0,0,0
"Formica exsecta virus 1",0,0,0
"Forzavirus forza",0,0,1
"Foussvirus S46C10",0,0,0
"Foveavirus persicae",0,0,0
"Franklinbayvirus fv9A",0,0,0
"Fremauxvirus fv1706",0,0,0
"Freyavirus danklef",0,0,0
"Freyavirus freya",0,1,0
"Friunavirus AB1",0,0,0
"Friunavirus AS11",0,0,0
"Fukuivirus MVDC",0,0,0
"Fusarium poae partitivirus 2",0,0,0
"Fussvirus S30C28",0,0,0
"Gajwadongvirus ECBP5",0,0,0
"Gajwadongvirus PP99",0,0,0
"Galvastonvirus tweety19",0,0,0
"Gamaleyavirus EC1UPM",0,0,0
"Gamaleyavirus G17",0,0,0
"Gamaleyavirus G7C",0,0,0
"Gamaleyavirus IME11",0,0,1
"Gamaleyavirus Sb1",0,0,0
"Gamaleyavirus Sp5m",0,0,0
"Gamboa mosquito virus",0,0,0
"Gammaarterivirus lacdeh",0,0,0
"Gammabaculovirus neabietis",0,0,0
"Gammabaculovirus nelecontei",0,0,0
"Gammabaculovirus nesertiferis",0,0,0
"Gammacarmovirus melonis",0,1,0
"Gammacoronavirus galli",0,0,0
"Gammanudivirus cameanadis",0,0,0
"Gammanudivirus cracrangonis",0,0,0
"Gammanudivirus hogammari",0,0,0
"Gammapapillomavirus 1",4,0,0
"Gammapapillomavirus 15",0,0,0
"Gammapapillomavirus 18",0,0,0
"Gammapapillomavirus 19",0,0,0
"Gammapapillomavirus 2",0,0,0
"Gammapapillomavirus 20",0,0,0
"Gammapapillomavirus 21",0,0,0
"Gammapapillomavirus 24",0,0,0
"Gammapapillomavirus 6",0,0,0
"Gammapapillomavirus 7",0,0,0
"Gammapapillomavirus sp.",0,0,0
"Gammapartitivirus aspergilli",0,0,0
"Gammapartitivirus unodisculae",0,1,0
"Gammapleolipovirus hardyense",0,0,0
"Gammapolyomavirus padeliae",0,0,0
"Gammaretrovirus Hamursar",0,0,0
"Gammaretrovirus murleu",0,0,0
"Gammatorquevirus homidi12",0,0,0
"Gammatorquevirus homidi15",0,0,0
"Gaprivervirus arezed",0,1,1
"Gaprivervirus sp18",0,0,0
"Gaprivervirus vr20",0,0,0
"Gaprivervirus vr25",0,0,0
"Gaprivervirus vr26",0,0,0
"Gaprivervirus vr7",0,0,0
"Gediminasvirus AchV4",0,0,0
"Geezettvirus geezett",0,0,0
"Gelderlandvirus cgg41",0,0,0
"Gelderlandvirus melville",0,0,0
"Gelderlandvirus stp4a",0,0,0
"Gemycircularvirus draga1",0,0,0
"Gemycircularvirus ptero9",0,0,0
"Gemykibivirus haeme5",0,0,0
"Gemykibivirus rhina2",8,12,10
"Gemykolovirus ptero2",0,0,0
"Gemykroznavirus hydro1",2,6,0
"Gemyvongvirus humas1",0,0,0
"Geobacillus virus E2",0,0,0
"Geobacillus virus E3",0,0,0
"Gervaisevirus gervaise",0,0,0
"Getalongvirus getalong",0,0,0
"Ghunavirus gh1",0,0,0
"Giant panda circovirus 1",0,0,0
"Gihfavirus arvadaptatum",0,0,0
"Gilgameshvirus gilgamesh",0,0,0
"Gilsonvirus comrade",0,0,0
"Gilsonvirus gilson",0,0,0
"Gimaduovirus GMA2",0,0,0
"Glaucusvirus ssm5",0,0,0
"Glossinavirus glopallidipedis",0,0,0
"Godonkavirus phendrix",0,0,0
"Golden Marseillevirus",0,0,0
"Gordtnkvirus gordtnk2",0,0,0
"Gorganvirus isfahan",0,0,0
"Goukovirus cumutoense",0,0,0
"Goutanap virus",4,60,0
"Grapevine rupestris vein feathering virus",0,0,0
"Green Sichuan pepper nucleorhabdovirus",0,0,0
"Greenvirus ssm4",0,1,0
"Gruhelivirus agrusa",0,0,0
"Gualtarvirus mp1",1,0,0
"Guangdong red-banded snake torovirus",0,1,0
"Guelphvirus ACGM12",0,0,0
"Guinea pig adenovirus",0,1,1
"Gundelvirus Gundel",0,0,0
"Gwanakrovirus SNUABM08",0,0,0
"Hacihdavirus animalis",0,0,0
"Hadakavirus nanga",0,0,0
"Hadassahvirus azbtza1",0,0,0
"Haetaevirus PBC2",0,0,0
"Hagavirus psychrophilum",8,0,0
"Haifavirus tim68",0,0,0
"Halfdanvirus halfdan",0,0,0
"Haloferacalesvirus eilatense",0,0,0
"Haloferacalesvirus thailandense",0,0,0
"Hanko virus",0,0,0
"Hapavirus parry",0,0,0
"Hapunavirus VP882",0,0,0
"Harambevirus beachbum",0,0,0
"Harbinvirus semele",0,0,0
"Harrekavirus harreka",0,0,0
"Hartmanivirus brazilense",0,0,0
"Hartmanivirus haartmani",0,0,0
"Hattifnattvirus hattifnatt",0,0,0
"Heliconius erato iflavirus",0,0,0
"Helicoverpa armigera iflavirus",0,0,0
"Heliosvirus raunefjordenense",0,0,0
"Helsingorvirus Cba181",0,0,0
"Henunavirus SNUABM01",0,0,0
"Henunavirus hena1",0,0,0
"Henuseptimavirus henu7",0,0,0
"Hepacivirus colobi",0,0,0
"Hepacivirus otomopis",0,0,0
"Hepanhamaparvovirus decapod1",0,0,0
"Hepatovirus gafrisheta",0,1,1
"Hepatovirus hedgi",0,0,0
"Herbevirus herberti",0,0,0
"Herbevirus kibaleense",0,0,0
"Herbevirus taiense",0,0,0
"Higashivirus RSB1",0,0,0
"Higashivirus RsoP1IDN",0,1,0
"Hinxtonvirus K13",0,0,0
"Hodnevirus agrivivens",0,0,1
"Holosalinivirus M8CR302",0,0,0
"Homalodisca vitripennis reovirus",0,0,0
"Homburgvirus LP110",0,0,0
"Homburgvirus LP26",0,0,0
"Homochaacvirus californiense",0,0,0
"Hopescreekvirus LfeInf",0,0,0
"Hoswirudivirus pozzuoliense",0,0,0
"Hoswirudivirus saccharolobi",0,0,0
"Huanghaivirus snothree",0,0,0
"Hubavirus myriapedis",0,0,0
"Hubei Poty-like virus 1",0,0,0
"Hubei coleoptera virus 1",0,0,0
"Hubei diptera virus 1",0,0,0
"Hubei diptera virus 13",0,0,0
"Hubei endorna-like virus 1",0,0,0
"Hubei hepe-like virus 1",0,0,0
"Hubei hepe-like virus 3",0,0,0
"Hubei insect virus 2",0,0,0
"Hubei mosquito virus 4",1927,2612,2218
"Hubei narna-like virus 17",62,58,2
"Hubei odonate virus 5",0,0,0
"Hubei odonate virus 6",0,0,0
"Hubei picorna-like virus 14",0,0,0
"Hubei picorna-like virus 15",0,0,0
"Hubei picorna-like virus 16",0,0,0
"Hubei picorna-like virus 24",0,0,0
"Hubei picorna-like virus 27",0,0,0
"Hubei picorna-like virus 34",0,0,0
"Hubei picorna-like virus 35",0,0,0
"Hubei picorna-like virus 37",0,0,0
"Hubei picorna-like virus 45",0,0,0
"Hubei picorna-like virus 46",0,0,0
"Hubei picorna-like virus 49",0,0,0
"Hubei picorna-like virus 51",0,0,0
"Hubei picorna-like virus 52",0,0,0
"Hubei picorna-like virus 55",0,0,0
"Hubei picorna-like virus 60",6,20,12
"Hubei picorna-like virus 61",0,0,0
"Hubei picorna-like virus 70",0,0,0
"Hubei picorna-like virus 72",0,0,0
"Hubei tetragnatha maxillosa virus 2",10,0,0
"Hubei tetragnatha maxillosa virus 8",0,0,0
"Hubei tombus-like virus 39",0,0,0
"Hubei tombus-like virus 4",0,0,0
"Hubei tombus-like virus 8",0,0,0
"Hubei virga-like virus 2",28037,19103,4640
"Hubei virga-like virus 23",0,1,0
"Hudivirus muscae",0,0,0
"Huelvavirus ort11",0,0,0
"Human papillomavirus",0,0,0
"Hungariovirus C1302",0,0,0
"Husa-like virus KS-2016a",0,0,0
"Husavirus sp.",0,0,0
"Hymenopteran rhabdo-related virus",0,0,0
"Iapetusvirus EaH1",0,0,0
"Icerudivirus kverkfjoellense",0,0,0
"Ichtadenovirus acipenseris",0,0,0
"Ictavirus ictaluridallo1",1,1,1
"Ictavirus ictaluridallo2",0,0,0
"Identitycrisisvirus identitycrisis",0,0,0
"Iflavirus aladeformis",0,0,0
"Iflavirus betaspexiguae",0,0,0
"Iflavirus ectobliquae",0,0,0
"Iflavirus lineacelli",0,0,0
"Iflavirus pernudae",0,0,0
"Iflavirus spexiguae",0,0,0
"Iflavirus vomitus",0,0,0
"Ignaciovirus vondra",0,0,0
"Ilarvirus CLRV",0,0,0
"Ilarvirus PDV",0,0,0
"Ilomantsi virus",0,0,0
"Iltovirus cacatuidalpha2",0,0,0
"Iltovirus gallidalpha1",0,0,0
"Iltovirus psittacidalpha1",0,0,0
"Iltovirus psittacidalpha5",0,0,0
"Immutovirus immuto",0,0,0
"Inbricusvirus inbricus",0,0,0
"Incheonvirus P12002L",0,0,0
"Infratovirus hubeiense",0,0,0
"Ingelinevirus ingeline",0,0,0
"Inhavirus P12024L",0,0,0
"Inner Mongolia sediment arena-like virus",0,0,0
"Innesvirus RL38J1",0,0,0
"Inovirus M13",0,0,1
"Iodovirus PLPE",0,0,0
"Ipomovirus cucumisvenaflavi",0,0,0
"Ipomovirus cucurbitavenaflavi",0,0,0
"Ipomovirus manihotis",0,0,0
"Iridovirus armadillidium1",0,0,0
"Iridovirus chilo1",0,0,0
"Ishigurovirus osborne",0,1,0
"Iteradensovirus lepidopteran1",0,0,0
"Iteradensovirus lepidopteran2",0,7,0
"Iteradensovirus lepidopteran4",0,0,0
"Ithacavirus SP058",0,0,0
"Ithacavirus SP076",0,0,0
"Ittyvirus itty13",0,0,0
"Jahgtovirus gastrointestinalis",0,0,0
"Jahgtovirus intestinalis",0,0,0
"Jahgtovirus intestinihominis",0,0,0
"Jahgtovirus secundus",0,0,0
"Janusvirus janus",0,0,0
"Japarudivirus beppuense",0,0,0
"Jarilovirus jarilo",1,0,0
"Jarrellvirus BCAJ1",0,0,0
"Jasminevirus jasmine",0,0,0
"Jawnskivirus beans",0,0,0
"Jeilongvirus myodesis",0,0,0
"Jeilongvirus queenslandense",0,0,0
"Jeilongvirus tailamense",0,0,0
"Jenstvirus jenst",0,0,0
"Jeonjuvirus BSP38",0,0,0
"Jerseyvirus GRNsp50",0,0,0
"Jerseyvirus NBSal006",0,0,0
"Jerseyvirus SEW109",0,0,0
"Jerseyvirus jersey",0,0,0
"Jesfedecavirus phi3",0,0,0
"Jhansiroadvirus gwaliVC1",0,0,0
"Jiangsuvirus pspyzu05",0,0,0
"Jiaodavirus jd18",0,0,0
"Jiaodavirus kp179",0,0,0
"Jiaodavirus kppv15",0,0,0
"Jiaodavirus kpv477",0,0,0
"Jiaodavirus mineola",0,0,0
"Jiaodavirus pko111",0,0,0
"Jilinvirus ECOO78",0,0,0
"Johnsonvirus Ea92",0,0,4
"Johnsonvirus frozen",0,4,0
"Jouyvirus ev017",20,5,0
"Jouyvirus ev207",21,2,2
"Julieunavirus julie1",0,0,0
"Junduvirus communis",0,0,0
"Junduvirus copri",0,0,0
"Jwalphavirus jwalpha",0,0,0
"Kagamiyamavirus ecs1",1,0,0
"Kahnovirus copri",0,0,0
"Kahnovirus oralis",1,0,0
"Kahucivirus intestinalis",0,0,0
"Kakivirus PS3",0,0,0
"Kalppathivirus P26059B",0,0,0
"Kanagawavirus cipnine",0,0,0
"Kanagawavirus eclm",0,0,0
"Kanagawavirus mime",0,0,0
"Kanagawavirus pei20",7,4,1
"Kanagawavirus threeohfive",1,0,0
"Kanaloavirus scam9",0,0,0
"Kantovirus C171",0,0,0
"Karamvirus cc31",2,0,0
"Karamvirus mypsh1140",1,0,0
"Karamvirus petcm34",0,4,0
"Karamvirus pg7",2,0,1
"Karezivirus karezi",0,0,0
"Karimacvirus karimac",0,0,0
"Karimacvirus yaboi",0,2,0
"Kaumoebavirus",0,0,0
"Kayfunavirus 101118UKE1",0,0,0
"Kayfunavirus CR44b",0,0,0
"Kayfunavirus Dev2",0,0,0
"Kayfunavirus EcoDS1",0,0,0
"Kayfunavirus EcpYZU01",0,0,0
"Kayfunavirus F",0,0,0
"Kayfunavirus GA2A",0,0,0
"Kayfunavirus GW1",0,0,0
"Kayfunavirus IMM002",0,0,0
"Kayfunavirus K1F",0,0,0
"Kayfunavirus Ro45lw",0,0,0
"Kayfunavirus SFPH2",0,0,0
"Kayfunavirus SH3",0,0,0
"Kayfunavirus SH4",0,0,0
"Kayfunavirus ST31",0,0,0
"Kayfunavirus Vec13",0,0,0
"Kayfunavirus YZ1",0,0,0
"Kayfunavirus ZG49",0,0,0
"Kaypoctavirus KP8",0,2,0
"Kayvirus G15",0,0,0
"Kayvirus MCE2014",0,0,0
"Kayvirus S253",0,0,0
"Kayvirus rodi",0,0,0
"Kehishuvirus primarius",0,0,0
"Kehishuvirus splanchnicus",0,0,0
"Kelp fly virus",0,0,0
"Kembevirus SCBP2",0,0,0
"Kemiovirus caenivicinum",0,0,0
"Kenoshavirus crocheter",0,0,0
"Kenoshavirus ohmyward",0,0,0
"Kenyattavirus kv136",0,0,0
"Keshuvirus hurricane",0,0,0
"Keshuvirus macncheese",0,0,0
"Kharnvirus lucius",0,0,0
"Kilunavirus KL1",0,0,0
"Kinglevirus lutadaptatum",0,1,5
"Kirovvirus kirov",0,0,0
"Kisinvirus pescaderoense",0,0,0
"Klausavirus kburrousTX",0,0,0
"Klebsiella virus KpV2811",0,0,0
"Kleczkowskavirus RHEph4",0,0,0
"Klumppvirus A9",0,0,0
"Knuthellervirus PMBT14",0,0,0
"Kochikohdavirus ECP3",0,0,0
"Kochikohdavirus EF24CP2",0,0,0
"Kochitakasuvirus R18",0,0,0
"Kolesnikvirus Ea214",4,0,15
"Kolesnikvirus M7",17,0,68
"Kolpuevirus hominis",0,0,0
"Koteshevirus terrivivens",0,0,0
"Kotilavirus PPWS1",0,0,0
"Koutsourovirus Pec",5,4,5
"Krampusvirus krampus",0,0,0
"Kratiovirus omnicron",0,0,0
"Kratosvirus quantuckense",0,0,0
"Kremarvirus M51",0,0,0
"Kremarvirus VCM",0,0,0
"Kremarvirus kremar",0,0,0
"Krischvirus ecd7",0,0,0
"Krischvirus kfsec",0,0,0
"Kroosvirus tangerine",0,0,0
"Kujavirus kuja",1,0,0
"Kukrinivirus oligodontis",0,0,0
"Kukulkanvirus mexicoense",0,0,0
"Kungbxnavirus pT24",0,1,0
"Kunmingvirus kv4D05",0,0,0
"Kuravirus CHD5UKE1",0,0,0
"Kuravirus phiEco32",0,0,0
"Kuttervirus SenALZ1",0,0,1
"Kuttervirus bering",0,0,0
"Kvaramitovirus opno7",0,0,0
"Kwaitsingvirus HK544",0,0,0
"Kyungwonvirus CS01",0,0,0
"Kyungwonvirus Esp29491",1,0,0
"Labanvirus laban",0,0,0
"Lacusarxvirus lacusarx",0,0,0
"Lahexavirus LAh9",0,0,0
"Lake Sarah-associated circular virus-18",0,0,0
"Lake Sarah-associated circular virus-24",0,0,0
"Lake Sarah-associated circular virus-50",0,0,0
"Lake Sarah-associated circular virus-51",0,0,0
"Lake Sinai virus 1",0,0,0
"Lake Sinai virus 2",0,0,0
"Lambdavirus lvO276",0,0,0
"Laminvirus thailandense",0,0,0
"Lanavirus lana",0,0,0
"Lasallevirus Acj61",0,0,0
"Latrobevirus FNU1",0,0,0
"Lazarusvirus apostate",0,0,0
"Lebotivirus ichi",0,0,0
"Lebriduvirus gastrointestinalis",1,0,0
"Ledantevirus kumasi",0,0,0
"Ledantevirus wenzhou",0,0,0
"Leefvirus Leef",0,0,0
"Lentimonavirus lentinulae",0,0,0
"Lentivirus bovimdef",0,0,0
"Lentivirus humimdef1",0,0,0
"Lenusvirus lenus",0,0,0
"Leporipoxvirus myxoma",0,0,0
"Leporipoxvirus shope",0,0,0
"Leucotheavirus syn30",1,0,0
"Libanvirus ptim40",0,0,0
"Libingvirus BUCT695",0,0,0
"Lietduovirus LIET2",0,1,0
"Likavirus izzy",0,1,0
"Lilmcdreamyvirus lilmcdreamy",0,0,0
"Lilyvirus lily",0,0,0
"Limdunavirus LN03",0,0,0
"Limelightvirus limelight",1,0,4
"Limestonevirus limestone",0,0,0
"Lindendrivevirus EB49",0,0,0
"Lingvirus PGSP1",0,0,0
"Lipsvirus ssm7",0,0,0
"Lishizhenvirus BUCT566",0,0,0
"Littlefixvirus 98Pflur60pp",0,0,0
"Llyrvirus SSKS1",0,0,0
"Loessnervirus SSEM1",0,0,0
"Loghdhuvirus borborovicinum",0,0,0
"Lokivirus loki",0,0,0
"Longan witches broom-associated virus",0,0,0
"Losannavirus lausannense",0,0,0
"Losannavirus tunisense",0,0,0
"Loughboroughvirus ZCSE2",31,0,0
"Lowelvirus tuscon4d",0,0,0
"Luckytenvirus lucky10",0,0,0
"Ludhianavirus D3",0,0,0
"Ludhianavirus LAh10",0,0,0
"Lumosvirus whirlwind",0,0,0
"Luteovirus rosae",0,0,0
"Luteovirus trifolii",0,0,0
"Lutzomyia reovirus 1",0,0,0
"Luzseptimavirus LUZ7",0,0,0
"Lymphocryptovirus callitrichinegamma3",0,0,0
"Lymphocryptovirus humangamma4",0,0,0
"Lymphocryptovirus macacinegamma13",0,0,0
"Lymphocystis disease virus Sa",0,0,0
"Lymphocystivirus micropogonias1",0,0,0
"Lymphocystivirus paralichthys1",0,0,0
"Lymphocystivirus platichthys1",0,0,0
"Lyssavirus ikoma",0,0,0
"Maaswegvirus Kp24",4,1,0
"Macaca mulatta papillomavirus 3",0,0,0
"Macariavirus tuscon14g",0,0,0
"Macavirus alcelaphinegamma1",0,0,0
"Macavirus alcelaphinegamma2",0,0,0
"Macavirus bovinegamma6",0,0,0
"Macavirus ovinegamma2",0,0,0
"Macavirus suidgamma3",1,0,0
"Macavirus suidgamma4",0,0,0
"Macavirus suidgamma5",0,0,0
"Machinavirus machina",0,0,0
"Macrophomina phaseolina tobamo-like virus",0,0,0
"Macropopoxvirus mfuliginosuspox",0,0,0
"Macropopoxvirus mgiganteuspox",0,0,0
"Maenadvirus P1",0,0,0
"Maenadvirus maenad",0,0,0
"Magoulivirus etaplasmoparae",0,0,0
"Mahlunavirus rarus",0,1,0
"Mahstovirus faecalis",0,0,0
"Makaravirus thirtyfour",0,0,0
"Makelovirus prm1",0,0,0
"Malacosoma neustria nucleopolyhedrovirus",0,0,0
"Mallosvirus mallos",0,0,0
"Mamastrovirus miniopteri",0,0,0
"Mamastrovirus virginiaense",0,0,0
"Mammarenavirus cameroonense",0,0,0
"Mammarenavirus dhati-welelense",0,0,0
"Mammarenavirus lijiangense",0,0,0
"Manovirus Mano",0,0,0
"Manticavirus vombatidgamma1",0,0,0
"Mapvirus Ff47",0,0,0
"Marafivirus medicagonis",0,0,0
"Mardivirus columbidalpha1",0,0,0
"Mardivirus gallidalpha2",0,0,0
"Mardivirus gallidalpha3",0,0,0
"Mardivirus meleagridalpha1",0,28,0
"Mardivirus spheniscidalpha1",0,0,0
"Marfavirus F48",0,0,1
"Marfavirus marfa",3,0,0
"Margaeryvirus margaery",0,0,0
"Marseillevirus massiliense",1,0,0
"Marseillevirus sp. 'Melbournevirus'",0,0,0
"Marsupivirus aburpengari",0,0,0
"Mascletvirus VLCpiM12a",0,0,0
"Mastadenovirus blackbeardi",0,0,0
"Mastadenovirus caesari",41,0,0
"Mastadenovirus canidae",0,0,0
"Mastadenovirus cynocephali",0,0,0
"Mastadenovirus delphini",0,0,0
"Mastadenovirus encephalomyelitidis",0,0,0
"Mastadenovirus exoticum",0,0,0
"Mastadenovirus faecale",0,0,0
"Mastadenovirus longumcaudae",0,0,0
"Mastadenovirus macacae",0,0,0
"Mastadenovirus musauriti",0,0,0
"Mastadenovirus ovisoctavum",0,0,0
"Mastadenovirus porcustertium",0,0,0
"Mastadenovirus pteropodidae",0,0,0
"Mastadenovirus rhesi",0,0,0
"Mastadenovirus russelli",0,0,0
"Mastadenovirus sciuri",0,0,0
"Mastadenovirus simiavigesimum",0,0,0
"Mastrevirus cicerosis",0,0,0
"Mastrevirus erythrodiplaxis",0,0,0
"Matervirus mater",0,0,0
"Mavirus cafeteriae",0,0,0
"Mazuvirus scam7",0,0,0
"Meadowvirus AH04",0,0,0
"Megalocytivirus lates1",0,0,0
"Megalocytivirus pagrus1",0,0,0
"Megavirus chilense",0,0,0
"Megavirus powaiense",17,4,0
"Megrivirus aturhepa",0,0,0
"Melbournevirus REQ2",0,0,0
"Mercadeo virus",0,0,0
"Merhavirus merida",1822,18417,5674
"Merida-like virus KE-2017a",2,10,3
"Merivirus PM2",0,0,0
"Metaavulavirus calidris",0,0,0
"Metamorphoovirus ariadne",0,0,0
"Metapneumovirus avis",0,0,0
"Metapneumovirus hominis",0,0,0
"Methanoculleus virus L4768",0,0,0
"Metrivirus ME3",0,0,0
"Miamivirus miami",0,0,0
"Micromonas pusilla virus 12T",0,0,0
"Micromonas sp. RCC1109 virus MpV1",0,0,0
"Microwolfvirus soildragon",0,0,0
"Midgardsormrvirus midgardsormr38",0,0,2
"Mieseafarmvirus RSL1",0,0,0
"Miltoncavirus PhiPA3",0,0,0
"Miltonvirus MAM1",0,0,0
"Mimasvirus CBB",0,0,0
"Mimasvirus GAP32",0,0,0
"Mimivirus bradfordmassiliense",1,1,0
"Mimivirus terra2",3,0,1
"Mincapvirus eilatense",0,0,0
"Minhovirus zip",0,0,0
"Minipunavirus MP2",1,0,0
"Minipunavirus MmP1",0,1,0
"Moazamivirus 711",1,6,4
"Moazamivirus SE131",1,6,7
"Mobatvirus lenaense",0,0,0
"Mohonavirus ICP1",0,0,0
"Moineauvirus CHPC1062",7,6,4
"Moineauvirus CHPC1148",0,0,0
"Moineauvirus CHPC663",0,0,0
"Moineauvirus CHPC877",0,0,0
"Moineauvirus CHPC919",0,0,0
"Moineauvirus CHPC928",0,0,0
"Moineauvirus D1024",0,0,0
"Mollivirus sibericum",8,19,15
"Molluscipoxvirus molluscum",0,0,0
"Montyvirus birksandsocks",0,0,0
"Montyvirus jellybones",0,0,0
"Montyvirus stevefrench",0,0,0
"Mooglevirus mordin",0,0,0
"Moonbeamvirus moonbeam",0,0,0
"Moonvirus cf1",0,0,0
"Moonvirus kayemsixteen",0,0,0
"Moonvirus merlin",0,0,1
"Moonvirus moon",0,0,0
"Mooreparkvirus Lb3381",0,0,0
"Moovirus moo",0,0,2
"Morbillivirus canis",0,0,0
"Morbillivirus caprinae",0,0,0
"Mosigvirus 0157tp3",0,0,0
"Mosigvirus 25307",0,0,0
"Mosigvirus RB69",0,0,0
"Mosigvirus atk47",0,0,0
"Mosigvirus c120",0,0,0
"Mosigvirus efftwo",0,0,0
"Mosigvirus p000v",0,0,0
"Mosigvirus shsm521",0,0,0
"Mosquito densovirus BR/07",0,0,1
"Mosugukvirus pm2",0,0,1
"Moturavirus motura",0,0,0
"Moumouvirus australiense",0,0,0
"Moumouvirus goulettemassiliense",0,0,0
"Moumouvirus moumou",0,0,0
"Mudcatvirus tribby",0,0,0
"Mudcatvirus xenomorph",0,0,0
"Mufasoctovirus mufasa8",0,0,0
"Muldoonvirus PS2",11,29,0
"Muldoonvirus muldoon",62,86,0
"Muminvirus filifjonk",1,0,0
"Muminvirus mumin",0,0,0
"Muminvirus mymlan",0,0,0
"Muminvirus snusmum",0,0,0
"Muminvirus tooticki",0,0,0
"Murine roseolovirus",0,0,0
"Muromegalovirus muridbeta1",0,1,0
"Muromegalovirus muridbeta2",0,0,0
"Muromegalovirus muridbeta8",0,0,0
"Murrayvirus EC2",1,0,0
"Murrayvirus lumpael",0,0,0
"Muscavirus musdomesticae",0,0,0
"Muscodensovirus dipteran1",0,0,0
"Mydovirus BIS47",0,0,0
"Mydovirus mydo",0,0,0
"Mylasvirus persius",0,0,0
"Myotis gammaherpesvirus 8",0,0,0
"Myrnavirus myrna",0,0,0
"Myrnavirus phabba",0,0,0
"Mythimna unipuncta nucleopolyhedrovirus",0,0,0
"Mytilus sp. clam associated circular virus",0,0,0
"Myunavirus My1",0,0,0
"NY_014 poxvirus",0,0,0
