"name","DNA_97_S38","DNA73_S32","DNA76_S35"
"Alphatorquevirus homin3",0,0,0
"Alphavirus barmah",0,0,0
"Alternavirus aspergilli",0,0,0
"Ambidensovirus CaaDV1",0,0,0
"Amdoparvovirus carnivoran4",0,0,0
"Amdoparvovirus carnivoran6",0,0,0
"Aminayvirus aminay",0,0,0
"Ampelovirus dioscoreae",0,0,0
"Ampelovirus pruni",0,0,0
"Anaposvirus socalone",0,0,0
"Anayavirus JAWS",0,0,0
"Andhravirus andhra",0,0,0
"Andhravirus sealphi",0,0,0
"Andihavirus borborohabitans",0,0,0
"Andromedavirus blastoid",0,0,0
"Andromedavirus riggi",0,0,0
"Angelvirus px29",0,0,0
"Anopheles C virus",0,0,0
"Antarctic picorna-like virus 2",0,0,0
"Antarctic picorna-like virus 4",0,0,0
"Antichaacvirus pescaderoense",1,0,0
"Aobingvirus yangshanense",0,0,0
"Aokuangvirus SCBWM1",1,0,0
"Aorunvirus V12",0,0,0
"Aparavirus apisacutum",1,62,3
"Aparavirus kashmirense",0,2,0
"Aparavirus vallesi",0,0,0
"Apdecimavirus AP10",1,0,0
"Aphroditevirus USC1",0,0,0
"Aphroditevirus aphrodite1",0,0,0
"Aphroditevirus av2TSL2019",0,0,0
"Apis mellifera filamentous virus",1,0,1
"Apocheima cinerarium nucleopolyhedrovirus",0,0,0
"Apodemus agrarius picornavirus",0,0,0
"Aquareovirus salmonis",4,16,12
"Aranavirus guiyangense",0,0,0
"Arceuthobium sichuanense virus 1",0,0,0
"Aresaunavirus RsoM1USA",0,0,0
"Army ant associated cyclovirus 4",0,0,0
"Arurhavirus xiburema",0,0,0
"Asclepias asymptomatic virus",0,0,0
"Ascovirus hvav3a",0,0,0
"Ascovirus sfav1a",0,0,0
"Asfivirus haemorrhagiae",0,0,0
"Ashivirus S45C4",1,0,0
"Aspduovirus Asp2",0,0,0
"Asteriusvirus PBECO4",0,0,0
"Astrovirus VA4",0,0,0
"Atlantic salmon swim bladder sarcoma virus",0,1,1
"Atlauavirus tusconc8",0,0,0
"Attisvirus vasanti",0,0,0
"Atuphduovirus atuph03",0,0,0
"Audreyjarvisvirus AM1",0,0,0
"Audreyjarvisvirus AM4",0,0,0
"Audreyjarvisvirus L47",0,0,0
"Audreyjarvisvirus P1048",0,0,0
"Audreyjarvisvirus WRP3",0,0,0
"Audreyjarvisvirus av949",0,0,0
"Aurivirus haliotidmalaco1",0,0,0
"Aurodevirus hiberniae",0,0,0
"Aurodevirus hominis",0,0,0
"Aurunvirus STIM5",0,0,0
"Aviadenovirus columbidae",0,0,0
"Aviadenovirus gallopavoprimum",0,0,0
"Aviadenovirus gallopavoquintum",0,0,0
"Aviadenovirus hydropericardii",0,1,0
"Aviadenovirus quintum",0,0,0
"Avian endogenous retrovirus EAV-HP",0,0,0
"Avipoxvirus canarypox",0,0,0
"Avipoxvirus fowlpox",0,0,0
"Avipoxvirus penguinpox",0,0,0
"Avipoxvirus pigeonpox",0,1,0
"Avipoxvirus turkeypox",0,0,0
"Avisivirus Pf-CHK1/AsV",0,0,0
"Avunavirus Av05",0,0,0
"Azorudivirus furnasense",0,0,0
"Bacelvirus phi46tres",0,0,0
"Bacillarnavirus setoensis",0,0,0
"Backyardiganvirus peaches",0,0,0
"Badnavirus betavirgamusae",0,0,0
"Badnavirus epsilonvirgamusae",0,0,0
"Badnavirus maculahederae",0,0,0
"Badnavirus meliae",0,0,0
"Badnavirus phirubi",0,0,0
"Baikalvirus PaBG",1,3,0
"Baldwinvirus EM",0,0,0
"Baoshanvirus BS1",0,1,0
"Barhavirus muir",0,0,0
"Barthadenovirus bossextum",0,0,0
"Barthadenovirus cervi",0,0,0
"Barthadenovirus draconis",0,0,0
"Barthadenovirus galloanserae",0,0,0
"Barthadenovirus ovis",0,0,0
"Bastillevirus hoodyT",0,0,0
"Bat associated densovirus",0,0,0
"Bat coronavirus",0,0,0
"Bat coronavirus BM48-31/BGR/2008",0,0,0
"Bathycoccus sp. RCC1105 virus BpV",0,0,0
"Batravirus ranidallo2",0,0,0
"Batravirus ranidallo3",0,0,0
"BeAn 58058 virus",0,0,0
"Beecentumtrevirus B103",0,0,0
"Beenievirus easley",0,0,0
"Begomovirus capsicummusivi",0,0,0
"Begomovirus capsicumyunnanense",0,0,0
"Begomovirus dalechampiae",0,0,0
